,Kandidátní listina,Poř.číslo,"Příjmení, jméno",Titul,Věk,Navrh.strana,Polit.přísl.,Absolutní hlasy,Hlasy v %,Pořadí,Mandát,Rok
1144,"Sdružení ALTERNATIVA, NK",30,Pavelka František Ing.,Ing.,54,ALTER,BEZPP,1524,"2,45",25,,2010
1145,Doktoři (za uzdravení společ.),33,Pavlíčková Ivana,,64,Doktoři,BEZPP,344,"2,02",,,2010
1146,Nestraníci,21,Pazdera Jiří,,50,Nestran.,BEZPP,387,"2,47",,,2010
1147,Česká str.sociálně demokrat.,22,Peer Miroslav Mgr.,Mgr.,53,ČSSD,ČSSD,2294,"2,68",15,,2010
1148,Doktoři (za uzdravení společ.),25,Pekárek Jan,,22,Doktoři,BEZPP,380,"2,23",,,2010
1149,Hnutí O co jim jde?!,9,Pelc Ivan,,56,OCJJ,BEZPP,1223,"2,97",6,,2010
1150,Křesť.demokr.unie-Čs.str.lid.,34,Pelc Jindřich Mgr.,Mgr.,58,KDU-ČSL,BEZPP,193,"2,49",,,2010
1151,Věci veřejné,32,Pelnářová Radka,,25,VV,BEZPP,342,"2,53",,,2010
1152,Křesť.demokr.unie-Čs.str.lid.,17,Pergl Jindřich Ing.,Ing.,67,KDU-ČSL,BEZPP,203,"2,62",,,2010
1153,Victoria.cz,36,Peťovská Emilie,,52,Victoria,BEZPP,249,"1,82",,,2010
1154,Karlovar.občanská alternativa,26,Petr Martin  DiS.,,35,KOA,KOA,2345,"2,39",19,,2010
1155,Doktoři (za uzdravení společ.),36,Petráš Libor,,36,Doktoři,BEZPP,303,"1,78",,,2010
1156,Doktoři (za uzdravení společ.),30,Petre Alexander,,52,Doktoři,BEZPP,364,"2,14",,,2010
1157,Hnutí O co jim jde?!,17,Petrlíková Hana Ing.,Ing.,43,OCJJ,BEZPP,1093,"2,66",14,,2010
1158,Karlovar.občanská alternativa,34,Petrová Bohumila,,68,KOA,KOA,2014,"2,05",26,,2010
1159,Česká str.sociálně demokrat.,2,Petříková Jana Mgr.,Mgr.,52,ČSSD,ČSSD,2523,"2,95",4,*,2010
1160,TOP 09,27,Pickenhan Jan,,28,TOP 09,BEZPP,1274,"2,40",23,,2010
1161,Nestraníci,20,Pilát Tomáš,,34,Nestran.,BEZPP,352,"2,25",,,2010
1162,Doktoři (za uzdravení společ.),31,Pilečková Naděžda MUDr.,MUDr.,33,Doktoři,BEZPP,386,"2,27",,,2010
1163,Victoria.cz,24,Pinc Jaromír,,50,Victoria,BEZPP,304,"2,22",,,2010
1164,Karlovar.občanská alternativa,17,Plaček Radek,,34,KOA,KOA,2432,"2,48",11,,2010
1165,"Sdružení ALTERNATIVA, NK",38,Plachý Vojtěch Ing.,Ing.,47,NK,BEZPP,1195,"1,92",33,,2010
1166,Hnutí O co jim jde?!,12,Plašil Josef Ing.,Ing.,57,OCJJ,BEZPP,1243,"3,02",5,,2010
1167,Doktoři (za uzdravení společ.),3,Podzemská Berenika MUDr.,MUDr.,44,Doktoři,Doktoři,891,"5,24",,,2010
1168,Strana zelených,21,Pokorná Marie,,63,SZ,BEZPP,170,"1,91",,,2010
1169,Česká str.sociálně demokrat.,32,Pokorný Radek Ing.,Ing.,45,ČSSD,ČSSD,2113,"2,47",25,,2010
1170,Česká str.sociálně demokrat.,37,Poláčková Radomíra,,40,ČSSD,ČSSD,1923,"2,24",30,,2010
1171,Nestraníci,32,Polák Vojtěch,,53,Nestran.,BEZPP,447,"2,85",,,2010
1172,Suverenita-blok J.Bobošíkové,28,Poláková Helena,,69,Suveren.,BEZPP,233,"2,13",,,2010
1173,TOP 09,24,Polomisová Eva MUDr.,MUDr.,60,TOP 09,BEZPP,1490,"2,81",20,,2010
1174,Doktoři (za uzdravení společ.),26,Polonyová Eva MUDr.,MUDr.,64,Doktoři,BEZPP,598,"3,52",,,2010
1175,Křesť.demokr.unie-Čs.str.lid.,5,Pospíšil Martin,,62,KDU-ČSL,BEZPP,222,"2,86",,,2010
1176,Nestraníci,23,Poula Zdeněk Mgr.,Mgr.,53,Nestran.,BEZPP,524,"3,35",,,2010
1177,Victoria.cz,1,Poustka Ivan MUDr.,MUDr.,49,Victoria,BEZPP,895,"6,55",,,2010
1178,Nestraníci,15,Pravda Josef,,39,Nestran.,BEZPP,359,"2,29",,,2010
1179,Nestraníci,24,Procházka Karel,,57,Nestran.,BEZPP,360,"2,30",,,2010
1180,Suverenita-blok J.Bobošíkové,1,Procházková Věra MUDr.,MUDr.,56,Suveren.,Suveren.,632,"5,80",,,2010
1181,Nestraníci,22,Prokop Petr,,26,Nestran.,BEZPP,348,"2,22",,,2010
1182,Nestraníci,12,Prošek Roman,,30,Nestran.,BEZPP,498,"3,18",,,2010
1183,Victoria.cz,31,Přech David,,37,Victoria,BEZPP,279,"2,04",,,2010
1184,Komunistická str.Čech a Moravy,26,Ptáčková Anna,,72,KSČM,KSČM,1394,"2,49",22,,2010
1185,Victoria.cz,25,Purdjak Juraj,,48,Victoria,BEZPP,286,"2,09",,,2010
1186,Hnutí O co jim jde?!,28,Radechovský Jakub,,29,OCJJ,BEZPP,944,"2,29",25,,2010
1187,Suverenita-blok J.Bobošíkové,9,Reichel Iva,,37,Suveren.,BEZPP,275,"2,52",,,2010
1188,Hnutí O co jim jde?!,24,Retterová Valerie,,73,OCJJ,BEZPP,954,"2,32",21,,2010
1189,Křesť.demokr.unie-Čs.str.lid.,31,Rezek Jan Bc. DiS.,Bc.,27,KDU-ČSL,KDU-ČSL,201,"2,59",,,2010
1190,Křesť.demokr.unie-Čs.str.lid.,28,Rezková Marie Ing.,Ing.,62,KDU-ČSL,KDU-ČSL,188,"2,42",,,2010
1191,Suverenita-blok J.Bobošíkové,38,Rinko Marek,,21,Suveren.,BEZPP,187,"1,71",,,2010
1192,Suverenita-blok J.Bobošíkové,13,Rinková Yvetta,,48,Suveren.,Suveren.,259,"2,37",,,2010
1193,Česká str.sociálně demokrat.,8,Riško Michal,,41,ČSSD,ČSSD,2341,"2,73",2,,2010
1194,Dělnic.str.sociální spravedl.,4,Rohm Aleš,,33,DSSS,BEZPP,158,"18,05",,,2010
1195,Hnutí O co jim jde?!,18,Rosenberg Adolf Ing.,Ing.,55,OCJJ,BEZPP,1146,"2,78",15,,2010
1196,Česká str.sociálně demokrat.,30,Rottová Jiřina  DiS.,,52,ČSSD,ČSSD,2157,"2,52",23,,2010
1197,Nestraníci,5,Roubínek Zdeněk Mgr.,Mgr.,52,Nestran.,BEZPP,716,"4,57",,,2010
1198,Strana zelených,25,Rudolf David,,29,SZ,BEZPP,204,"2,30",,,2010
1199,Hnutí O co jim jde?!,2,Rusev Milan Ing.,Ing.,55,OCJJ,BEZPP,1571,"3,82",3,*,2010
1200,Hnutí O co jim jde?!,14,Rusev Pavel Mgr.,Mgr.,27,OCJJ,OCJJ,1136,"2,76",11,,2010
1201,"Sdružení ALTERNATIVA, NK",2,Růžička Jaroslav RNDr.,RNDr.,48,ALTER,BEZPP,2362,"3,80",2,*,2010
1202,"Sdružení ALTERNATIVA, NK",35,Růžičková Jana,,46,NK,BEZPP,1242,"2,00",30,,2010
1203,Hnutí O co jim jde?!,8,Rychtaříková Tereza Mgr.,Mgr.,31,OCJJ,BEZPP,1252,"3,04",4,,2010
1204,Victoria.cz,22,Řeháková Evženie,,44,Victoria,BEZPP,301,"2,20",,,2010
1205,Karlovar.občanská alternativa,11,Řehořková Štěpánka Mgr.,Mgr.,46,KOA,KOA,2670,"2,72",5,,2010
1206,Suverenita-blok J.Bobošíkové,23,Řeřicha Pavel,,59,Suveren.,Suveren.,261,"2,39",,,2010
1207,Občanská demokratická strana,29,Řezáč Jan Ing.,Ing.,32,ODS,ODS,2015,"2,51",22,,2010
1208,Hnutí O co jim jde?!,6,Řezanka Ota Ing.,Ing.,40,OCJJ,OCJJ,1378,"3,35",1,,2010
1209,Nestraníci,1,Saligerová Eva Mgr.,Mgr.,42,Nestran.,BEZPP,505,"3,23",,,2010
1210,Doktoři (za uzdravení společ.),24,Salingerová Helena,,65,Doktoři,BEZPP,350,"2,06",,,2010
1211,Karlovar.občanská alternativa,4,Samcová Domesová Lucie,,52,KOA,KOA,3036,"3,09",7,*,2010
1212,Suverenita-blok J.Bobošíkové,31,Savič Igor Ing.,Ing.,73,Suveren.,SPOZ,273,"2,50",,,2010
1213,Strana zelených,36,Sedláková Alena,,32,SZ,BEZPP,145,"1,63",,,2010
1214,Komunistická str.Čech a Moravy,7,Seidl Vojtěch Ing.,Ing.,61,KSČM,KSČM,1524,"2,72",3,,2010
1215,Hnutí O co jim jde?!,27,Schafer Ivan,,62,OCJJ,BEZPP,955,"2,32",24,,2010
1216,TOP 09,19,Schee Jaromír MUDr.,MUDr.,50,TOP 09,BEZPP,1951,"3,68",1,*,2010
1217,Suverenita-blok J.Bobošíkové,22,Scheuer Miroslav,,24,Suveren.,BEZPP,250,"2,29",,,2010
1218,Suverenita-blok J.Bobošíkové,10,Schraml Karel,,43,Suveren.,Suveren.,267,"2,45",,,2010
1219,Věci veřejné,14,Sitková Markéta JUDr.,JUDr.,31,VV,BEZPP,471,"3,48",,,2010
1220,Česká str.sociálně demokrat.,34,Skála Jiří Ing.,Ing.,68,ČSSD,ČSSD,2039,"2,38",27,,2010
1221,Strana zelených,7,Skála Jiří,,30,SZ,SZ,239,"2,69",,,2010
1222,Karlovar.občanská alternativa,6,Slába Zdeněk,,64,KOA,KOA,2785,"2,84",1,,2010
1223,Občanská demokratická strana,33,Slabihoud Petr,,60,ODS,ODS,1873,"2,34",26,,2010
1224,Občanská demokratická strana,32,Slabihoudová Renata,,45,ODS,ODS,1897,"2,37",25,,2010
1225,Karlovar.občanská alternativa,30,Slábová Eva,,64,KOA,KOA,2265,"2,31",22,,2010
1226,Křesť.demokr.unie-Čs.str.lid.,15,Slavotínek Michal MUDr.,MUDr.,39,KDU-ČSL,KDU-ČSL,242,"3,12",,,2010
1227,Komunistická str.Čech a Moravy,15,Slivoň Karol,,61,KSČM,BEZPP,1483,"2,65",11,,2010
1228,Doktoři (za uzdravení společ.),12,Smutná Jiřina,,54,Doktoři,BEZPP,466,"2,74",,,2010
1229,Doktoři (za uzdravení společ.),15,Smutný Jakub,,20,Doktoři,BEZPP,421,"2,48",,,2010
1230,TOP 09,13,Smutný Miroslav,,54,TOP 09,TOP 09,1351,"2,55",10,,2010
1231,Česká str.sociálně demokrat.,12,Smutný Pavel MUDr.,MUDr.,52,ČSSD,BEZPP,2612,"3,05",2,*,2010
1232,TOP 09,28,Sobota Martin MVDr.,MVDr.,30,TOP 09,BEZPP,1412,"2,66",24,,2010
1233,Věci veřejné,19,Solfronk Luděk,,37,VV,BEZPP,386,"2,85",,,2010
1234,"Sdružení ALTERNATIVA, NK",18,Souček Jiří MUDr.,MUDr.,60,ALTER,BEZPP,1841,"2,96",5,*,2010
1235,Doktoři (za uzdravení společ.),8,Stach Dalibor,,38,Doktoři,BEZPP,379,"2,23",,,2010
1236,Nestraníci,4,Steinová Štěpánka Mgr.,Mgr.,30,Nestran.,BEZPP,455,"2,91",,,2010
1237,Česká str.sociálně demokrat.,16,Stibor Josef Mgr.,Mgr.,32,ČSSD,ČSSD,2268,"2,65",9,,2010
1238,Victoria.cz,6,Straková Špišáková Markéta MUDr.,,29,Victoria,BEZPP,401,"2,93",,,2010
1239,Suverenita-blok J.Bobošíkové,14,Studénková Soňa,,26,Suveren.,Suveren.,259,"2,37",,,2010
1240,Nestraníci,8,Suchan Vladimír,,45,Nestran.,BEZPP,495,"3,16",,,2010
1241,Victoria.cz,19,Sytař Pavel,,34,Victoria,Victoria,342,"2,50",,,2010
1242,Nestraníci,31,Szabo Ladislav,,47,Nestran.,BEZPP,309,"1,97",,,2010
1243,Občanská demokratická strana,18,Šantora Petr MUDr.,MUDr.,55,ODS,ODS,2112,"2,63",11,,2010
1244,Křesť.demokr.unie-Čs.str.lid.,30,Šebesta Václav,,88,KDU-ČSL,BEZPP,151,"1,94",,,2010
1245,Hnutí O co jim jde?!,15,Šebková Zdeňka,,34,OCJJ,BEZPP,1080,"2,62",12,,2010
1246,Strana svobodných občanů,4,Šebl Roman Bc.,Bc.,23,Svobodní,Svobodní,159,"15,90",,,2010
1247,TOP 09,4,Šembera Libor Ing.,Ing.,46,TOP 09,TOP 09,1653,"3,12",4,*,2010
1248,Věci veřejné,10,Šíma Václav,,55,VV,VV,396,"2,93",,,2010
1249,Komunistická str.Čech a Moravy,35,Šimandl Václav,,78,KSČM,KSČM,1305,"2,33",31,,2010
1250,Komunistická str.Čech a Moravy,34,Šimandlová Libuše,,75,KSČM,KSČM,1325,"2,37",30,,2010
1251,"Sdružení ALTERNATIVA, NK",17,Šimonovský Rudolf,,83,NK,BEZPP,1671,"2,69",13,,2010
1252,Komunistická str.Čech a Moravy,36,Šinágl Josef,,80,KSČM,KSČM,1293,"2,31",32,,2010
1253,Česká str.sociálně demokrat.,11,Šípek Martin RNDr.,RNDr.,47,ČSSD,ČSSD,2293,"2,68",5,,2010
1254,Česká str.sociálně demokrat.,18,Šír Marek Mgr.,Mgr.,36,ČSSD,ČSSD,2320,"2,71",11,,2010
1255,"Sdružení ALTERNATIVA, NK",23,Škarda Jiří,,51,NK,BEZPP,1623,"2,61",18,,2010
1256,"Sdružení ALTERNATIVA, NK",33,Škarda Roman,,32,NK,BEZPP,1361,"2,19",28,,2010
1257,Karlovar.občanská alternativa,13,Škorpil Vítězslav,,49,KOA,KOA,2538,"2,58",7,,2010
1258,"Sdružení ALTERNATIVA, NK",24,Škrobáček Stanislav,,50,NK,BEZPP,1475,"2,37",19,,2010
1259,Strana zelených,30,Šmejkal Jakub,,29,SZ,BEZPP,178,"2,00",,,2010
1260,Křesť.demokr.unie-Čs.str.lid.,23,Šmíd Robert Ing.,Ing.,47,KDU-ČSL,KDU-ČSL,200,"2,58",,,2010
1261,Hnutí O co jim jde?!,7,Šnajdr Antonín,,40,OCJJ,OCJJ,1211,"2,94",7,,2010
1262,Victoria.cz,21,Šolín Martin,,43,Victoria,Victoria,293,"2,14",,,2010
1263,Karlovar.občanská alternativa,14,Špička Petr,,24,KOA,KOA,2382,"2,43",8,,2010
1264,Karlovar.občanská alternativa,12,Špičková Monika,,46,KOA,KOA,2454,"2,50",6,,2010
1265,Karlovar.občanská alternativa,36,Špora Michal,,54,KOA,KOA,1913,"1,95",28,,2010
1266,Doktoři (za uzdravení společ.),18,Šrámková Danuše,,65,Doktoři,BEZPP,356,"2,09",,,2010
1267,Komunistická str.Čech a Moravy,33,Šťastná Nina,,74,KSČM,KSČM,1342,"2,40",29,,2010
1268,Křesť.demokr.unie-Čs.str.lid.,10,Štěpková Jana,,47,KDU-ČSL,KDU-ČSL,195,"2,51",,,2010
