,Kandidátní listina,Poř.číslo,"Příjmení, jméno",Titul,Věk,Navrh.strana,Polit.přísl.,Absolutní hlasy,Hlasy v %,Pořadí,Mandát,Rok
556,Balbínova poetická strana,1,Kaiser Martin,,35,BPS,BEZPP,310,"6,62",,,2006
557,Komunistická str.Čech a Moravy,25,Kalina Jan,,64,KSČM,KSČM,1511,"2,52",20,,2006
558,"Karlovarská koal.-KDU-ČSL, VPM",18,Kalousová Eva Mgr.,Mgr.,53,VPM,BEZPP,919,"2,62",16,,2006
559,Karlovar.občanská alternativa,26,Karas Michal Ing. Arch.,Ing.,67,KOA,KOA,1204,"2,76",23,,2006
560,Strana zelených,38,Keler David,,27,SZ,BEZPP,518,"1,79",36,,2006
561,"Karlovarské fórum -US-DEU, NK",27,Keluc Miloš,,42,NK,BEZPP,243,"2,00",,,2006
562,Občanská demokratická strana,12,Keprta Jan,,30,ODS,ODS,4786,"2,67",12,*,2006
563,Občanská demokratická strana,1,Keřka Petr Ing.,Ing.,39,ODS,ODS,5450,"3,04",1,*,2006
564,Strana zelených,25,Klečková Šárka,,42,SZ,BEZPP,688,"2,37",23,,2006
565,NEZ.DEMOKRATÉ(předs.V.Železný),3,Knára Jan MUDr.,MUDr.,65,NEZ/DEM,BEZPP,644,"5,17",,,2006
566,Balbínova poetická strana,15,Kobilák Roman,,31,BPS,BEZPP,125,"2,67",,,2006
567,Strana zelených,13,Kolář Václav Ing.,Ing.,32,SZ,BEZPP,775,"2,67",11,,2006
568,STRANA ROVNOST ŠANCÍ,5,Komínová Vlasta,,46,SRŠ,BEZPP,314,"4,89",,,2006
569,"Karlovarské fórum -US-DEU, NK",19,Koňata Michal,,33,NK,BEZPP,255,"2,10",,,2006
570,"Karlovarské fórum -US-DEU, NK",8,Končel Petr,,35,NK,BEZPP,710,"5,86",,,2006
571,"Karlovarské fórum -US-DEU, NK",12,Koniariková Marie Mgr.,Mgr.,31,NK,BEZPP,315,"2,60",,,2006
572,NEZ.DEMOKRATÉ(předs.V.Železný),18,Konopiský Jan,,53,NEZ/DEM,BEZPP,323,"2,59",,,2006
573,STRANA ROVNOST ŠANCÍ,25,Kopečková Věra,,72,SRŠ,BEZPP,157,"2,44",,,2006
574,Občanská demokratická strana,32,Kopfstein Josef,,59,ODS,ODS,4464,"2,49",17,,2006
575,NEZ.DEMOKRATÉ(předs.V.Železný),26,Koptová Andrea,,23,NEZ/DEM,BEZPP,281,"2,25",,,2006
576,Komunistická str.Čech a Moravy,33,Kosík Ladislav,,74,KSČM,KSČM,1470,"2,45",28,,2006
577,SNK Evropští demokraté,26,Kosorinová Darina MUDr.,MUDr.,66,SNK ED,BEZPP,844,"2,42",24,,2006
578,SNK Evropští demokraté,2,Kotek Jiří Ing.,Ing.,49,SNK ED,ODA,1249,"3,58",1,,2006
579,SNK Evropští demokraté,15,Kouba Václav Ing.,Ing.,43,SNK ED,BEZPP,918,"2,63",15,,2006
580,Česká str.sociálně demokrat.,17,Koula Milan MUDr.,MUDr.,50,ČSSD,ČSSD,2942,"2,68",8,,2006
581,"Karlovarské fórum -US-DEU, NK",6,Kovář Zdeněk Ing.,Ing.,46,US-DEU,US-DEU,339,"2,80",,,2006
582,Česká str.sociálně demokrat.,32,Kozel Adolf,,64,ČSSD,ČSSD,2654,"2,42",23,,2006
583,SNK Evropští demokraté,32,Kraftová Evelina  DiS.,,26,SNK ED,SNK ED,709,"2,03",30,,2006
584,Karlovar.občanská alternativa,6,Král Vladimír,,73,KOA,KOA,1282,"2,94",6,,2006
585,Balbínova poetická strana,24,Krejčíková Ivana,,39,BPS,BEZPP,129,"2,75",,,2006
586,Komunistická str.Čech a Moravy,30,Krejzlík Jindřich RSDr.,RSDr.,72,KSČM,KSČM,1491,"2,49",25,,2006
587,"Karlovarské fórum -US-DEU, NK",31,Kroupa Pavel,,37,NK,BEZPP,228,"1,88",,,2006
588,Balbínova poetická strana,20,Kubín Jiří,,19,BPS,BEZPP,153,"3,27",,,2006
589,SNK Evropští demokraté,13,Kubín Stanislav MUDr.,MUDr.,51,SNK ED,BEZPP,1469,"4,21",2,*,2006
590,SNK Evropští demokraté,27,Kubrycht Pavel Ing.,Ing.,48,SNK ED,BEZPP,894,"2,56",25,,2006
591,Komunistická str.Čech a Moravy,13,Kucián František,,62,KSČM,BEZPP,1562,"2,61",8,,2006
592,Komunistická str.Čech a Moravy,7,Kuciánová Milena,,59,KSČM,KSČM,1648,"2,75",2,,2006
593,Komunistická str.Čech a Moravy,18,Kučera Antonín,,77,KSČM,KSČM,1529,"2,55",13,,2006
594,"Karlovarské fórum -US-DEU, NK",11,Kučera Jan Ing.,Ing.,63,NK,BEZPP,342,"2,82",,,2006
595,"Karlovarská koal.-KDU-ČSL, VPM",27,Kučera Jan,,37,KDU-ČSL,BEZPP,764,"2,18",25,,2006
596,Česká str.sociálně demokrat.,14,Kučera Miroslav Ing.,Ing.,37,ČSSD,ČSSD,3002,"2,74",5,,2006
597,Občanská demokratická strana,36,Kulhánek Milan  dipl. technik,,59,ODS,ODS,4133,"2,31",21,,2006
598,Karlovar.občanská alternativa,2,Kulhánek Petr Ing.,Ing.,35,KOA,KOA,1590,"3,65",2,*,2006
599,Karlovar.občanská alternativa,29,Kulhánková Jitka Mgr.,Mgr.,64,KOA,KOA,1188,"2,73",26,,2006
600,Občanská demokratická strana,24,Kulík Záviš Ing.,Ing.,63,ODS,ODS,4857,"2,71",9,,2006
601,Česká str.sociálně demokrat.,29,Kuliš Petr,,54,ČSSD,ČSSD,2750,"2,51",20,,2006
602,Strana zelených,20,Kulíšek Jan,,21,SZ,BEZPP,691,"2,38",18,,2006
603,"Karlovarská koal.-KDU-ČSL, VPM",11,Kůrka Alois,,41,KDU-ČSL,BEZPP,872,"2,49",11,,2006
604,NEZ.DEMOKRATÉ(předs.V.Železný),29,Ladýřová Jana,,25,NEZ/DEM,NEZ/DEM,292,"2,34",,,2006
605,Občanská demokratická strana,20,Lami Jan MUDr.,MUDr.,39,ODS,ODS,4757,"2,66",5,,2006
606,"Karlovarská koal.-KDU-ČSL, VPM",33,Lang Miloslav,,66,KDU-ČSL,KDU-ČSL,721,"2,05",31,,2006
607,Česká str.sociálně demokrat.,3,Larva Václav MUDr.,MUDr.,62,ČSSD,ČSSD,3590,"3,28",1,*,2006
608,Občanská demokratická strana,15,Laubová Dagmar,,47,ODS,ODS,4728,"2,64",15,*,2006
609,NEZ.DEMOKRATÉ(předs.V.Železný),5,Lazorčík Michal,,28,NEZ/DEM,NEZ/DEM,332,"2,66",,,2006
610,Česká str.sociálně demokrat.,37,Lebeda Pavel,,67,ČSSD,ČSSD,2445,"2,23",28,,2006
611,SNK Evropští demokraté,35,Lechnýř František,,50,SNK ED,BEZPP,660,"1,89",33,,2006
612,Karlovar.občanská alternativa,3,Lepík Vlastimil,,56,KOA,KOA,1808,"4,15",1,*,2006
613,Balbínova poetická strana,3,Lintemer Pavel,,30,BPS,BEZPP,200,"4,27",,,2006
614,Balbínova poetická strana,2,Lintemer Petr,,37,BPS,BEZPP,231,"4,93",,,2006
615,"Karlovarské fórum -US-DEU, NK",34,Lintimer Daniel,,38,NK,BEZPP,211,"1,74",,,2006
616,Karlovar.občanská alternativa,21,Líska Ivan MUDr.,MUDr.,54,KOA,KOA,1226,"2,81",18,,2006
617,SNK Evropští demokraté,24,Lískovec Vojtěch MVDr.,MVDr.,54,SNK ED,BEZPP,1082,"3,10",5,,2006
618,Občanská demokratická strana,30,Lopata Petr Ing.,Ing.,46,ODS,ODS,4577,"2,56",15,,2006
619,"Karlovarské fórum -US-DEU, NK",18,Loziak Aleš,,28,NK,BEZPP,282,"2,33",,,2006
620,NEZ.DEMOKRATÉ(předs.V.Železný),10,Ludasová Petra,,30,NEZ/DEM,NEZ/DEM,312,"2,50",,,2006
621,Občanská demokratická strana,19,Lukáš Robert,,33,ODS,ODS,4694,"2,62",4,,2006
622,Karlovar.občanská alternativa,38,Luňáková Soňa MUDr.,MUDr.,59,KOA,KOA,829,"1,90",35,,2006
623,"Karlovarské fórum -US-DEU, NK",1,Lupínek Václav Ing. CSc.,Ing.,52,NK,BEZPP,898,"7,42",,,2006
624,Občanská demokratická strana,4,Maceška Otakar Ing.,Ing.,55,ODS,ODS,4983,"2,78",5,*,2006
625,Občanská demokratická strana,18,Máj Petr MUDr.,MUDr.,48,ODS,ODS,4864,"2,72",3,,2006
626,Občanská demokratická strana,2,Makkiehová Monika  DiS.,,42,ODS,ODS,4815,"2,69",3,*,2006
627,"Karlovarská koal.-KDU-ČSL, VPM",20,Maleček Roman,,40,VPM,BEZPP,922,"2,63",18,,2006
628,Komunistická str.Čech a Moravy,11,Malkusová Stanislava,,72,KSČM,KSČM,1586,"2,65",6,,2006
629,"Karlovarské fórum -US-DEU, NK",24,Malý Eduard,,38,NK,BEZPP,241,"1,99",,,2006
630,"Karlovarská koal.-KDU-ČSL, VPM",2,Malý Josef Ing.,Ing.,52,KDU-ČSL,KDU-ČSL,1139,"3,25",4,,2006
631,Strana zelených,30,Marek Vladimír,,51,SZ,BEZPP,645,"2,22",28,,2006
632,NEZ.DEMOKRATÉ(předs.V.Železný),8,Martáková Naděžda,,40,NEZ/DEM,NEZ/DEM,338,"2,71",,,2006
633,Strana zelených,7,Martínek Jan,,48,SZ,BEZPP,767,"2,65",5,,2006
634,NEZ.DEMOKRATÉ(předs.V.Železný),15,März Jan,,30,NEZ/DEM,BEZPP,373,"2,99",,,2006
635,Česká str.sociálně demokrat.,38,Mařík Karel,,57,ČSSD,ČSSD,2376,"2,17",29,,2006
636,Karlovar.občanská alternativa,19,Matoušek Václav Ing.,Ing.,47,KOA,KOA,1074,"2,46",16,,2006
637,Občanská demokratická strana,25,Miarka Roman Ing.,Ing.,46,ODS,ODS,4710,"2,63",10,,2006
638,Komunistická str.Čech a Moravy,14,Michal Miloslav,,51,KSČM,KSČM,1582,"2,64",9,,2006
639,STRANA ROVNOST ŠANCÍ,3,Michková Jana Ing.,Ing.,42,SRŠ,BEZPP,504,"7,84",,,2006
640,"Karlovarská koal.-KDU-ČSL, VPM",36,Misík Bořek Mgr.,Mgr.,62,VPM,BEZPP,733,"2,09",34,,2006
641,"Karlovarská koal.-KDU-ČSL, VPM",37,Moravec Jiří,,35,VPM,BEZPP,662,"1,89",35,,2006
642,"Karlovarská koal.-KDU-ČSL, VPM",13,Motlík František Ing.,Ing.,66,KDU-ČSL,BEZPP,793,"2,26",12,,2006
643,Komunistická str.Čech a Moravy,1,Murčo Josef,,54,KSČM,KSČM,1963,"3,28",2,*,2006
644,Komunistická str.Čech a Moravy,4,Musil Zdeněk PhDr.,PhDr.,62,KSČM,BEZPP,1938,"3,23",3,*,2006
645,Česká str.sociálně demokrat.,33,Mužík Petr,,34,ČSSD,ČSSD,2631,"2,40",24,,2006
646,Komunistická str.Čech a Moravy,23,Němcová Hana,,68,KSČM,KSČM,1515,"2,53",18,,2006
647,NEZ.DEMOKRATÉ(předs.V.Železný),14,Němeček Pavel,,58,NEZ/DEM,BEZPP,310,"2,48",,,2006
648,"Karlovarské fórum -US-DEU, NK",13,Neumann Jozef,,59,NK,BEZPP,281,"2,32",,,2006
649,"Karlovarské fórum -US-DEU, NK",21,Neumanová Jitka,,34,NK,BEZPP,267,"2,20",,,2006
650,"Karlovarské fórum -US-DEU, NK",20,Nídl Jan,,49,US-DEU,US-DEU,234,"1,93",,,2006
651,SNK Evropští demokraté,21,Nöbauer Jaroslav MUDr.,MUDr.,36,SNK ED,BEZPP,1007,"2,88",20,,2006
652,Česká str.sociálně demokrat.,28,Novák Petr,,64,ČSSD,ČSSD,2757,"2,52",19,,2006
653,Česká str.sociálně demokrat.,5,Novák Radek Mgr.,Mgr.,39,ČSSD,ČSSD,2986,"2,72",5,*,2006
654,Karlovar.občanská alternativa,37,Nováková Tereza,,22,KOA,KOA,769,"1,76",34,,2006
655,Občanská demokratická strana,26,Novotný Jiří,,34,ODS,ODS,4563,"2,55",11,,2006
656,NEZ.DEMOKRATÉ(předs.V.Železný),28,Novotný Milan,,21,NEZ/DEM,NEZ/DEM,303,"2,43",,,2006
657,Občanská demokratická strana,7,Ondrejcsik Pavel,,49,ODS,ODS,4858,"2,71",7,*,2006
658,Strana zelených,27,Palovová Dagmar,,24,SZ,BEZPP,684,"2,36",25,,2006
659,Občanská demokratická strana,27,Pánek Jan Ing.,Ing.,62,ODS,ODS,4588,"2,56",12,,2006
660,SNK Evropští demokraté,25,Papánek Josef Mgr.,Mgr.,55,SNK ED,BEZPP,824,"2,36",23,,2006
661,SNK Evropští demokraté,8,Pavelka František Ing.,Ing.,50,SNK ED,ODA,989,"2,83",11,,2006
662,Balbínova poetická strana,9,Pavlů Pavel,,42,BPS,BEZPP,223,"4,76",,,2006
663,Česká str.sociálně demokrat.,22,Peer Miroslav Mgr.,Mgr.,49,ČSSD,ČSSD,2919,"2,66",13,,2006
664,SNK Evropští demokraté,16,Petr Marcel,,54,SNK ED,SNK ED,804,"2,30",16,,2006
665,Karlovar.občanská alternativa,24,Petrová Bohumila,,64,KOA,KOA,995,"2,28",21,,2006
666,Česká str.sociálně demokrat.,2,Petříková Jana Mgr.,Mgr.,48,ČSSD,ČSSD,3390,"3,09",3,*,2006
667,Strana zelených,16,Pirstitz Štefan,,53,SZ,BEZPP,705,"2,43",14,,2006
668,Karlovar.občanská alternativa,7,Pitra Petr Mgr.,Mgr.,40,KOA,KOA,1201,"2,76",7,,2006
669,SNK Evropští demokraté,4,Plachý Vojtěch Ing.,Ing.,43,SNK ED,SNK ED,1098,"3,14",4,,2006
670,Česká str.sociálně demokrat.,31,Podhradská Ludmila,,42,ČSSD,ČSSD,2698,"2,46",22,,2006
671,Česká str.sociálně demokrat.,24,Pokorný Radek Ing.,Ing.,41,ČSSD,ČSSD,2828,"2,58",15,,2006
672,"Karlovarská koal.-KDU-ČSL, VPM",24,Poler Antonín Mgr.,Mgr.,36,VPM,BEZPP,800,"2,28",22,,2006
673,Balbínova poetická strana,10,Pospíšil Marek,,37,BPS,BEZPP,155,"3,31",,,2006
674,"Karlovarské fórum -US-DEU, NK",14,Poustka Ivan MUDr.,MUDr.,45,US-DEU,US-DEU,672,"5,55",,,2006
675,"Karlovarské fórum -US-DEU, NK",9,Poustka Stanislav MUDr.,MUDr.,48,US-DEU,US-DEU,700,"5,78",,,2006
676,Strana zelených,34,Prachařová Ivana,,23,SZ,BEZPP,601,"2,07",32,,2006
677,"Karlovarská koal.-KDU-ČSL, VPM",15,Prokop Jiří MUDr.,MUDr.,57,KDU-ČSL,BEZPP,978,"2,79",13,,2006
678,SNK Evropští demokraté,30,Prokopová Zdeňka,,41,SNK ED,SNK ED,738,"2,11",28,,2006
679,STRANA ROVNOST ŠANCÍ,10,Přikrylová Petra,,33,SRŠ,BEZPP,215,"3,34",,,2006
680,Balbínova poetická strana,22,Pušová Helena,,27,BPS,BEZPP,146,"3,12",,,2006
681,SNK Evropští demokraté,22,Pušová Jaroslava,,51,SNK ED,SNK ED,843,"2,41",21,,2006
682,STRANA ROVNOST ŠANCÍ,17,Pyšová Olga,,36,SRŠ,BEZPP,189,"2,94",,,2006
683,"Karlovarské fórum -US-DEU, NK",3,Radosta Jan Ing.,Ing.,55,NK,BEZPP,529,"4,37",,,2006
684,STRANA ROVNOST ŠANCÍ,13,Rákosníková Marie,,63,SRŠ,BEZPP,179,"2,78",,,2006
685,"Karlovarská koal.-KDU-ČSL, VPM",19,Rezek Jiří Ing.,Ing.,59,KDU-ČSL,KDU-ČSL,880,"2,51",17,,2006
686,Česká str.sociálně demokrat.,16,Riško Michal,,37,ČSSD,ČSSD,2894,"2,64",7,,2006
687,"Karlovarská koal.-KDU-ČSL, VPM",28,Rohlová Miluše,,50,VPM,BEZPP,798,"2,27",26,,2006
688,Strana zelených,9,Roth Manfred,,23,SZ,SZ,702,"2,42",7,,2006
689,Komunistická str.Čech a Moravy,5,Ruthová Jana,,21,KSČM,BEZPP,1693,"2,83",5,*,2006
690,Česká str.sociálně demokrat.,23,Růžička Jaroslav,,33,ČSSD,ČSSD,2799,"2,55",14,,2006
691,SNK Evropští demokraté,1,Růžička Jaroslav RNDr.,RNDr.,44,SNK ED,SNK ED,1505,"4,31",1,*,2006
692,Strana zelených,26,Rybář Marcel,,48,SZ,BEZPP,660,"2,28",24,,2006
693,Strana zelených,19,Rybářová Ivana,,51,SZ,BEZPP,678,"2,34",17,,2006
694,Karlovar.občanská alternativa,15,Řehořková Štěpánka Mgr.,Mgr.,42,KOA,KOA,1213,"2,78",12,,2006
695,Karlovar.občanská alternativa,9,Samcová Domesová Lucie,,48,KOA,KOA,1537,"3,53",3,*,2006
696,Karlovar.občanská alternativa,25,Samec Matěj,,21,KOA,KOA,1059,"2,43",22,,2006
697,Česká str.sociálně demokrat.,34,Sedláček Roman,,36,ČSSD,ČSSD,2586,"2,36",25,,2006
698,STRANA ROVNOST ŠANCÍ,7,Sedláková Alena,,28,SRŠ,BEZPP,221,"3,44",,,2006
699,STRANA ROVNOST ŠANCÍ,15,Sedláková Jana,,68,SRŠ,BEZPP,169,"2,63",,,2006
700,Komunistická str.Čech a Moravy,8,Seidl Vojtěch Ing.,Ing.,57,KSČM,KSČM,1647,"2,75",3,,2006
701,SNK Evropští demokraté,34,Sekyrová Michaela,,25,SNK ED,BEZPP,660,"1,89",32,,2006
702,Strana zelených,15,Schmid Martin,,38,SZ,BEZPP,704,"2,43",13,,2006
703,"Karlovarská koal.-KDU-ČSL, VPM",14,Schneider Robert,,35,VPM,BEZPP,1021,"2,91",6,,2006
704,STRANA ROVNOST ŠANCÍ,16,Skleničková Oldřiška,,57,SRŠ,BEZPP,180,"2,80",,,2006
705,Komunistická str.Čech a Moravy,27,Skořepa Jindřich,,68,KSČM,KSČM,1499,"2,50",22,,2006
706,Komunistická str.Čech a Moravy,22,Skořepová Marta,,62,KSČM,KSČM,1520,"2,54",17,,2006
707,Karlovar.občanská alternativa,4,Slába Zdeněk,,60,KOA,KOA,1354,"3,11",4,,2006
708,Karlovar.občanská alternativa,31,Slábová Eva,,60,KOA,KOA,1007,"2,31",28,,2006
709,"Karlovarské fórum -US-DEU, NK",10,Slach Jiří Ing.,Ing.,41,US-DEU,US-DEU,341,"2,81",,,2006
710,"Karlovarské fórum -US-DEU, NK",30,Slachová Vladimíra,,47,NK,BEZPP,221,"1,82",,,2006
711,Komunistická str.Čech a Moravy,24,Slavíková Zdena,,69,KSČM,KSČM,1504,"2,51",19,,2006
712,"Karlovarská koal.-KDU-ČSL, VPM",21,Slavotínek Michal MUDr.,MUDr.,35,KDU-ČSL,KDU-ČSL,884,"2,52",19,,2006
713,Komunistická str.Čech a Moravy,20,Slivoň Karol,,57,KSČM,BEZPP,1569,"2,62",15,,2006
714,STRANA ROVNOST ŠANCÍ,14,Solanová Antonie,,34,SRŠ,BEZPP,185,"2,88",,,2006
715,SNK Evropští demokraté,17,Souček Jiří MUDr.,MUDr.,56,SNK ED,BEZPP,1162,"3,33",3,,2006
716,SNK Evropští demokraté,14,Soukup Roman,,60,SNK ED,BEZPP,821,"2,35",14,,2006
717,"Karlovarské fórum -US-DEU, NK",35,Sovják Pavel,,33,NK,BEZPP,203,"1,67",,,2006
718,Balbínova poetická strana,21,Stráský Robert,,27,BPS,BEZPP,117,"2,50",,,2006
719,NEZ.DEMOKRATÉ(předs.V.Železný),2,Stupka Michal,,28,NEZ/DEM,NEZ/DEM,380,"3,05",,,2006
720,NEZ.DEMOKRATÉ(předs.V.Železný),25,Stupka Stanislav,,23,NEZ/DEM,NEZ/DEM,298,"2,39",,,2006
721,"Karlovarská koal.-KDU-ČSL, VPM",8,Suchan Vladimír,,41,VPM,BEZPP,999,"2,85",8,,2006
722,Česká str.sociálně demokrat.,13,Suchý Dalibor Ing.,Ing.,41,ČSSD,ČSSD,2907,"2,65",4,,2006
723,Balbínova poetická strana,11,Svoboda René,,34,BPS,BEZPP,161,"3,44",,,2006
724,Občanská demokratická strana,16,Šantora Petr MUDr.,MUDr.,51,ODS,ODS,4774,"2,67",1,,2006
725,Strana zelených,36,Ševčík Tomáš,,42,SZ,BEZPP,585,"2,02",34,,2006
726,"Karlovarské fórum -US-DEU, NK",4,Šíma Václav,,51,US-DEU,US-DEU,323,"2,66",,,2006
727,Komunistická str.Čech a Moravy,34,Šimandl Václav,,74,KSČM,KSČM,1462,"2,44",29,,2006
728,Komunistická str.Čech a Moravy,26,Šimandlová Libuše,,71,KSČM,KSČM,1504,"2,51",21,,2006
729,Komunistická str.Čech a Moravy,35,Šinágl Josef,,76,KSČM,KSČM,1453,"2,42",30,,2006
730,Česká str.sociálně demokrat.,9,Šípek Martin RNDr.,RNDr.,43,ČSSD,ČSSD,3082,"2,81",9,*,2006
731,Česká str.sociálně demokrat.,15,Šír Marek Bc.,Bc.,32,ČSSD,ČSSD,2914,"2,66",6,,2006
732,SNK Evropští demokraté,19,Škarda Jiří,,47,SNK ED,BEZPP,959,"2,75",18,,2006
733,Karlovar.občanská alternativa,22,Škorpil Vítězslav,,45,KOA,KOA,993,"2,28",19,,2006
734,NEZ.DEMOKRATÉ(předs.V.Železný),35,Šlefrová Simona,,43,NEZ/DEM,BEZPP,268,"2,15",,,2006
735,"Karlovarská koal.-KDU-ČSL, VPM",23,Šmíd Robert Ing.,Ing.,44,KDU-ČSL,KDU-ČSL,837,"2,39",21,,2006
736,NEZ.DEMOKRATÉ(předs.V.Železný),9,Šoulej Miroslav Mgr.,Mgr.,47,NEZ/DEM,BEZPP,398,"3,19",,,2006
737,Karlovar.občanská alternativa,28,Špička Petr,,20,KOA,KOA,940,"2,16",25,,2006
738,Karlovar.občanská alternativa,20,Špičková Monika,,42,KOA,KOA,992,"2,28",17,,2006
739,Komunistická str.Čech a Moravy,36,Špíšek Dušan,,77,KSČM,KSČM,1425,"2,38",31,,2006
740,Karlovar.občanská alternativa,17,Špora Michal,,50,KOA,KOA,1066,"2,45",14,,2006
741,NEZ.DEMOKRATÉ(předs.V.Železný),21,Štefanov Martin,,30,NEZ/DEM,NEZ/DEM,289,"2,32",,,2006
742,STRANA ROVNOST ŠANCÍ,23,Štěpařová Růžena,,71,SRŠ,BEZPP,169,"2,63",,,2006
743,"Karlovarské fórum -US-DEU, NK",15,Štika Daniel,,29,NK,BEZPP,280,"2,31",,,2006
744,"Karlovarská koal.-KDU-ČSL, VPM",12,Švec Miroslav MUDr.,MUDr.,42,VPM,BEZPP,1465,"4,18",2,*,2006
745,SNK Evropští demokraté,37,Tesař Jiří,,27,SNK ED,BEZPP,620,"1,77",35,,2006
746,"Karlovarské fórum -US-DEU, NK",25,Tichá Lenka,,34,NK,BEZPP,256,"2,11",,,2006
747,Strana zelených,28,Tichota Jaroslav,,52,SZ,BEZPP,709,"2,45",26,,2006
748,Strana zelených,8,Tichotová Iva,,20,SZ,BEZPP,779,"2,69",6,,2006
749,"Karlovarské fórum -US-DEU, NK",2,Tichý Jakub,,33,US-DEU,US-DEU,426,"3,52",,,2006
750,"Karlovarská koal.-KDU-ČSL, VPM",38,Tobolková Marie MUDr.,MUDr.,66,KDU-ČSL,KDU-ČSL,910,"2,59",36,,2006
751,Občanská demokratická strana,14,Tomášek Václav,,32,ODS,ODS,4719,"2,64",14,*,2006
752,Karlovar.občanská alternativa,11,Toufarová Soňa Ing.,Ing.,58,KOA,KOA,1118,"2,56",9,,2006
753,NEZ.DEMOKRATÉ(předs.V.Železný),22,Trojanová Simona,,23,NEZ/DEM,BEZPP,305,"2,44",,,2006
754,"Karlovarská koal.-KDU-ČSL, VPM",4,Trubač Ladislav Ing.,Ing.,48,VPM,BEZPP,1289,"3,68",1,,2006
755,"Karlovarská koal.-KDU-ČSL, VPM",10,Trubač Ladislav MUDr.,MUDr.,79,VPM,BEZPP,1012,"2,89",10,,2006
756,STRANA ROVNOST ŠANCÍ,9,Trubačová Lucie,,28,SRŠ,BEZPP,226,"3,51",,,2006
757,Karlovar.občanská alternativa,32,Tůmová Michaela Ing.,Ing.,37,KOA,KOA,988,"2,27",29,,2006
758,Strana zelených,12,Turek Dalibor,,38,SZ,SZ,831,"2,87",10,,2006
759,NEZ.DEMOKRATÉ(předs.V.Železný),32,Tůša Viktor,,27,NEZ/DEM,BEZPP,282,"2,26",,,2006
760,Česká str.sociálně demokrat.,20,Tvarochová Alexandra,,35,ČSSD,ČSSD,2817,"2,57",11,,2006
761,Česká str.sociálně demokrat.,11,Ullisch Richard Ing.,Ing.,26,ČSSD,ČSSD,2917,"2,66",2,,2006
762,Strana zelených,33,Václav Zbyněk,,33,SZ,BEZPP,598,"2,06",31,,2006
763,NEZ.DEMOKRATÉ(předs.V.Železný),38,Valenta Petr,,31,NEZ/DEM,BEZPP,262,"2,10",,,2006
764,Karlovar.občanská alternativa,8,Váňa Ivan Mgr.,Mgr.,47,KOA,KOA,1308,"3,00",5,,2006
765,"Karlovarská koal.-KDU-ČSL, VPM",25,Vaněček Michal,,38,KDU-ČSL,BEZPP,756,"2,15",23,,2006
766,Karlovar.občanská alternativa,36,Vank Ondřej,,24,KOA,KOA,826,"1,89",33,,2006
767,Komunistická str.Čech a Moravy,17,Varga Štefan,,63,KSČM,KSČM,1579,"2,63",12,,2006
768,NEZ.DEMOKRATÉ(předs.V.Železný),27,Vávra Michal,,24,NEZ/DEM,BEZPP,294,"2,36",,,2006
769,Balbínova poetická strana,6,Věchet David,,33,BPS,BEZPP,178,"3,80",,,2006
770,"Karlovarské fórum -US-DEU, NK",5,Vepřeková Jana,,30,NK,BEZPP,347,"2,86",,,2006
771,Občanská demokratická strana,21,Veselý Jiří Ing.,Ing.,47,ODS,ODS,4796,"2,68",6,,2006
772,SNK Evropští demokraté,33,Veselý Luboš Mgr.,Mgr.,47,SNK ED,BEZPP,748,"2,14",31,,2006
773,"Karlovarské fórum -US-DEU, NK",26,Veselý Tomáš,,39,NK,BEZPP,226,"1,86",,,2006
774,Balbínova poetická strana,30,Vidím Ondřej,,20,BPS,BEZPP,130,"2,77",,,2006
775,Občanská demokratická strana,13,Vighová Eva,,32,ODS,ODS,4718,"2,63",13,*,2006
776,SNK Evropští demokraté,20,Vinš Jan Ing.,Ing.,32,SNK ED,BEZPP,869,"2,49",19,,2006
777,SNK Evropští demokraté,10,Vinš Martin Ing.,Ing.,28,SNK ED,BEZPP,1040,"2,98",6,,2006
778,SNK Evropští demokraté,38,Vinš Michal MUDr.,MUDr.,55,SNK ED,BEZPP,955,"2,73",36,,2006
779,SNK Evropští demokraté,36,Vinšová Marie Mgr.,Mgr.,55,SNK ED,BEZPP,697,"1,99",34,,2006
780,NEZ.DEMOKRATÉ(předs.V.Železný),6,Vlasatý Václav,,48,NEZ/DEM,NEZ/DEM,431,"3,46",,,2006
781,Balbínova poetická strana,14,Vlašimský Robert,,34,BPS,BEZPP,137,"2,92",,,2006
782,"Karlovarská koal.-KDU-ČSL, VPM",9,Vlková Lenka,,48,KDU-ČSL,BEZPP,878,"2,50",9,,2006
783,Občanská demokratická strana,8,Vlková Veronika JUDr.,JUDr.,32,ODS,ODS,5039,"2,81",8,*,2006
784,Česká str.sociálně demokrat.,19,Voběrka František,,68,ČSSD,ČSSD,2819,"2,57",10,,2006
785,SNK Evropští demokraté,9,Vobořil Jaroslav MUDr.,MUDr.,40,SNK ED,BEZPP,935,"2,68",12,,2006
786,Strana zelených,24,Voleba Marián,,35,SZ,BEZPP,702,"2,42",22,,2006
787,Karlovar.občanská alternativa,5,Volf František,,44,KOA,KOA,1401,"3,22",3,,2006
788,Balbínova poetická strana,25,Volf Stanislav,,26,BPS,BEZPP,121,"2,58",,,2006
789,NEZ.DEMOKRATÉ(předs.V.Železný),23,Vondráček Petr,,19,NEZ/DEM,BEZPP,286,"2,29",,,2006
